scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name0,matching1%,matching2%,Coordinate0,Endpoint,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1.1,Unnamed: 45,Unnamed: 46,Unnamed: 47,subst_name0.1
AMP-010,29330,32037.0,33050.0,,AC,,,,,,,,,1,2021.0,40,,108.994820472612,3.0,,,,,,,,EnLAG,16.18,Lüstringen,Lüstringen,100.0,55.17,8.104639054942613 52.26510433337879,Station Hesseln,Station Bochum,7.221399400000001 51.45235824917898,26.58031477,380,,Errichtung einer Lei- tung: Ersatzneubau,8.319013268377837 52.06589206021646,8.319013268377837 52.06589206021646,,,Station Bochum
AMP-010,29331,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"16,18",Station Hesseln,,,,6.683107022192082 51.57564552523084,Gütersloh,,9.390175306207366 52.02668689009703,343.6877605,380,,Errichtung einer Lei- tung: Ersatzneubau,13.307313467836156 52.493747124416,13.307313467836156 52.493747124416,,,Umspannwerk Münstersche Straße
AMP-014,29332,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",Punkt Fellerhöfe,,,,11.599121468341334 49.39431927215067,Station St. Tönis,,6.683107022192082 51.57564552523084,420.2967431,380,,Errichtung einer Lei- tung: Ersatzneubau,6.518713830813268 51.32384889536959,6.518713830813268 51.32384889536959,,,Station Bochum
AMP-014,29333,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",Station St. Tönis,,,,6.683107022192082 51.57564552523084,Punkt Hüls-West,,10.633479541568006 50.60563609595998,299.8586707,380,,Errichtung einer Lei- tung: Ersatzneubau,10.633479541568006 50.60563609595998,10.633479541568006 50.60563609595998,,,Suhl/West
AMP-014,29334,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",Station Utfort,,,,6.683107022192082 51.57564552523084,Punkt Hüls-West,,10.633479541568006 50.60563609595998,297.8105822,380,,Errichtung einer Lei- tung: Ersatzneubau,10.633479541568006 50.60563609595998,10.633479541568006 50.60563609595998,,,Suhl/West
AMP-014,29335,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",Station Osterath,,,,6.683107022192082 51.57564552523084,Station Gohrpunkt,,6.709755946799809 51.09093247123397,19.76841319,380,,Errichtung einer Lei- tung: Ersatzneubau,6.709755946799809 51.09093247123397,6.709755946799809 51.09093247123397,,,Station Gohrpunkt
AMP-014,29336,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",Station Gohrpunkt,,,,6.709755946799809 51.09093247123397,Umspannwerk Rommerskirchen,,6.702194950358541 51.00886012106785,9.145866817,380,,Errichtung einer Lei- tung: Ersatzneubau,6.702194950358541 51.00886012106785,6.702194950358541 51.00886012106785,,,Station Gohrpunkt
AMP-014,29337,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",Station Utfort,,,,6.683107022192082 51.57564552523084,Station Osterath,,6.683107022192082 51.57564552523084,19.76841319,380,,Errichtung einer Lei- tung: Ersatzneubau,6.625829004351699 51.26061129731316,6.625829004351699 51.26061129731316,,,Station Bochum
AMP-014,29338,,,,AC,,,,,,,,,1,2021.0,40,,,3.0,,,,,,,,EnLAG,"14,15",220 kV-Umspannwerk Birkenfeld,,,,8.248729079824315 48.84631655943378,Gellep,,6.683107022192082 51.57564552523084,143.7074775,380,,Errichtung einer Lei- tung: Ersatzneubau,8.332454974532505 52.21038338865864,8.332454974532505 52.21038338865864,,,Melle
AMP-018,29339,,,,AC,,,,,,,,,1,2024.0,40,,,3.0,,,,,,,,15,15,Umspannwerk Rommerskirchen,,,,6.702194950358541 51.00886012106785,Station Sechtem,,6.683107022192082 51.57564552523084,30.39897351,380,,Errichtung einer Lei- tung: Ersatzneubau,6.972459875900362 50.79563726078529,6.972459875900362 50.79563726078529,,,Station Bochum
