scn_name,Projekt,Projekt_id,Maßnahme,Startpunk,Endpunkt,Spannung,s_nom,cables,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,Trassenlänge in km,,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,,,,Anmerkung
TTG-P33,BBP,10,Wahle – Hattorf – Helmstedt – Landes- grenze NI/ST (Mast 6),Wahle,Landesgrenze NI/ST (Mast 6),380,,6,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NI,NV,,,BBP Nr. 10,,65,2025,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P33,BBP,10,Wahle – Hattorf – Helmstedt – Landes- grenze NI/ST (Mast 6),Hattorf ,Helmstedt,380,,6,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NI,NV,,,BBP Nr. 10,,65,2025,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P33,BBP,10,Wahle – Hattorf – Helmstedt – Landes- grenze NI/ST (Mast 6),Helmstedt,Landesgrenze NI/ST (Mast 6),380,,6,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NI,NV,,,BBP Nr. 10,,65,2025,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P46,BBP,18,Redwitz – Mechlenreuth – Etzenricht – Schwandorf (Ostbayernring),Redwitz, Schwandorf (Ostbayernring),380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,,,BBP Nr. 18,,182,"2024 /
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P46,BBP,18,Redwitz – Mechlenreuth – Etzenricht – Schwandorf (Ostbayernring),Mechlenreuth,Etzenricht,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,,,BBP Nr. 18,,182,"2024 /
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P46,BBP,18,Redwitz – Mechlenreuth – Etzenricht – Schwandorf (Ostbayernring),Etzenricht, Schwandorf (Ostbayernring),380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,,,BBP Nr. 18,,182,"2024 /
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P48,BBP,20,Grafenrheinfeld – Punkt Rittershausen,Grafenrheinfeld,Punkt Rittershausen,380,,3,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,BY,NV,,,BBP Nr. 20,,50,2024,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P67,BBP,32,"Simbach – Matzenhof - Bundesgrenze AT
",Simbach,Matzenhof,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,13,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P67,BBP,32,"Simbach – Matzenhof - Bundesgrenze AT
",Matzenhof,Bundesgrenze AT,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,13,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
TTG-P67,BBP,32,Altheim – Adlkofen,Altheim,Adlkofen,380,,6,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BY,NV,x,x,BBP Nr. 32,,7,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,,
