scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,start point test,Endpoint,End point test,Ausbau,Bestand,subst_name0,matching1%,matching2%,Coordinate0,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments
P315,29499,32669,35336,,AC,,,,,,,,,1,2034,40,,35.8536131,6,,,,,,,,BBPIG,63,HanekenfÃ¤hr,Netzverstärkung Neuenhagen,Gronau,Heinersdorf – Eisenhüttenstadt,,125,HanekenfÃ¤hr,100,60,7.308241662698386 52.47679112025016,Station Gronau,7.034688605267841 52.20157372575072,174.8981824,380,,"Errichtung einer Leitung: Ersatzneubau;
Errichtung einer Leitung: Paral- lelneubau"
P328,29500,35036,,,DC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,70,Fedderwarden,Heinersdorf – Eisenhüttenstadt, GroÃŸbritannien,Preilack,,,Fedderwarden,100,,8.063672455328268 53.55578092463257,,,374.6080175,380,1,4 GW
P330,29501,,33771,,AC,,,,,,,,,1,2035,40,,451.4784394,,,,,,,,,,,Rittershausen,Stendal / West,HÃ¶pfingen,Wolmirstedt,,37,,,60,,Umspannwerk HÃ¶pfingen,9.446918747930244 49.59026295269401,451.4784394,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P355,29502,,,,AC,,,,,,,,,1,2035,40,,,6,,,,,,,,,,NetzverstÃ¤rkung Neuenhagen,Emden / Ost,Heinersdorf â€“ EisenhÃ¼ttenstadt,Eemshaven (Grenze,26,,,,,,,,604.0986848,380,,Errichtung einer Leitung: Ersatz- neubau
P355,29503,34940,32509,,AC,,,,,,,,,1,2035,40,,43.8468901,6,,,,,,,,,,Heinersdorf,Westerkappeln,EisenhÃ¼ttenstadt,Gersteinwerk,126,,Umspannwerk Heinersdorf,64.71,72.73,14.132945161411003 52.44306446003311,Umspannwerk EisenhÃ¼ttenstadt,14.603938187245118 52.174864548479,43.8468901,380,,Errichtung einer Leitung: Ersatz- neubau
P355,29504,32509,35257,,AC,,,,,,,,,1,2035,40,,34.00779771,6,,,,,,,,,,EisenhÃ¼ttenstadt,Hattingen,Preilack,Linde,,25,Umspannwerk EisenhÃ¼ttenstadt,72.73,57.14,14.603938187245118 52.174864548479,Umspannwerk Preilack,14.427719548278391 51.88920446787685,34.00779771,380,,Errichtung einer Leitung: Ersatz- neubau
P359,29505,,31318,,AC,,,,,,,,,1,2030,40,,202.7942587,,,,,,,,,BBPIG,60,Stendal / West,Aach,Wolmirstedt,Bofferdange,,10,,,64.71,,Umspannwerk Wolmirstedt,11.6401668419024 52.26899390911886,202.7942587,380,,Ã„nderung oder Erweiterung einer Leitung: Zu- oder Umbe- seilung
P367,29506,,,,AC,,,,,,,,,1,2035,40,,,3,,,,,,,,TYNDP ,1047,Emden / Ost,Eiberg,Eemshaven (Grenze,Bochum,,13,,,,,,,68.9521221,380,,Errichtung einer Leitung: Neubau in neuer Trasse
P402,29507,33506,32238,,AC,,,,,,,,,1,2033,40,,68.07425293,,,,,,,,,,,Westerkappeln,Bochum,Gersteinwerk,Hattingen,,11,Station Westerkappeln,76.47,75,7.890386064217827 52.277940414268855,Station Gersteinwerk,7.709038739055074 51.676466718364246,68.07425293,380,,Errichtung einer Leitung: Neubau in neuer Trasse
P403,29508,32683,,,AC,,,,,,,,,1,2033,40,,,,,,,,,,,BBPIG,64,Hattingen,Emscherbruch,Linderhausen,Bochum / Eiberg,,33,Station Hattingen,69.23,,7.167956726297289 51.38931989073198,,,167.2621092,380,,Errichtung einer Leitung: Ersatz- neubau
P403,29509,,33096,,AC,,,,,,,,,1,2033,40,,18.02879342,,,,,,,,,BBPIG,64,Linderhausen,Putlitz / Süd,Linde,Putlitz,,98,,,55.56,,Station Linde,7.233199543289641 51.23251323182934,18.02879342,380,,Errichtung einer Leitung: Ersatz- neubau
P406,29510,,,,AC,,,,,,,,,1,2027,40,,,,,,,,,,,BBPIG,71,Aach,Putlitz,Bofferdange,Perleberg,,,,,,,,,594.92493,380,,Errichtung einer Leitung: Ersatz- neubau
P408,29511,33500,32720,,AC,,,,,,,,,1,2035,40,,4.530492272,,,,,,,,,,,Eiberg,Perleberg,Bochum,Stendal / West,,,Station Eiberg,60,60,7.1257288028618015 51.44906598952049,Station Bochum,7.1793735100712075 51.47220069047802,6.660657779,380,,Errichtung einer Leitung: Ersatz- neubau
