scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo
P222,29493,30878,31293,,AC,3.915584692,0.43622963,0,,5400,TRUE,5400,Infinity,1,2035,40,10879.62963,47,6,1,2,-Infinity,Infinity,380,010200000002000000DDCC9238A6BD2640B531498A4F2548405BDD9FFD7EBC2740FC5BCB84781A4840,010200000002000000DDCC9238A6BD2640B531498A4F2548405BDD9FFD7EBC2740FC5BCB84781A4840
P223,29494,31759,34679,,AC,3.757295098,0.418594815,0,,5400,TRUE,5400,Infinity,1,2029,40,20879.62963,45.1,3,1,1,-Infinity,Infinity,380,01020000000200000070709471215F2840A5351E9E73E84A4069FA5D97AE652740CEAB9CBE22C94A40,01020000000200000070709471215F2840A5351E9E73E84A4069FA5D97AE652740CEAB9CBE22C94A40
P223,29495,34679,31614,,AC,2.099419877,0.233893333,0,,5400,TRUE,5400,Infinity,1,2030,40,11666.66667,25.2,3,1,1,-Infinity,Infinity,380,01020000000200000069FA5D97AE652740CEAB9CBE22C94A406CA4AC1BBEBD2640FF54E83DE4CC4A40,01020000000200000069FA5D97AE652740CEAB9CBE22C94A406CA4AC1BBEBD2640FF54E83DE4CC4A40
P223,29496,31614,30978,,AC,6.389900976,0.71188963,0,,5400,TRUE,5400,Infinity,1,2030,40,35509.25926,76.7,3,1,1,-Infinity,Infinity,380,0102000000020000006CA4AC1BBEBD2640FF54E83DE4CC4A40241E603E51D42440AD001AC5CFB44A40,0102000000020000006CA4AC1BBEBD2640FF54E83DE4CC4A40241E603E51D42440AD001AC5CFB44A40
P225,29497,32779,32780,,AC,0.666482501,0.074251852,0,,5400,TRUE,5400,Infinity,1,2030,40,1234.567901,8,9,1,3,-Infinity,Infinity,380,0102000000020000007E186A56117128403C15854CF94A4840242EFE2701982840E9B29F39AF4D4840,0102000000020000007E186A56117128403C15854CF94A4840242EFE2701982840E9B29F39AF4D4840
P227,29498,33618,30978,,AC,20.106176,2.24,0,,1790,TRUE,1790,Infinity,1,2030,40,55865.92179,80,6,1,2,-Infinity,Infinity,380,0102000000020000009974C7EB2A482540157F9E59B0F54A40241E603E51D42440AD001AC5CFB44A40,0102000000020000009974C7EB2A482540157F9E59B0F54A40241E603E51D42440AD001AC5CFB44A40
P228,29499,31407,31838,,AC,20.70936128,2.3072,0,,1790,TRUE,1790,Infinity,1,2040,40,57541.89944,82.4,6,1,2,-Infinity,Infinity,380,010200000002000000E8D5F5D4224022406C9F51D6E5444A407C5BC0291BD62340AD662204A4304A40,010200000002000000E8D5F5D4224022406C9F51D6E5444A407C5BC0291BD62340AD662204A4304A40
P228,29500,31838,34776,,AC,3.92070432,0.4368,0,,1790,TRUE,1790,Infinity,1,2032,40,10893.85475,15.6,6,1,2,-Infinity,Infinity,380,0102000000020000007C5BC0291BD62340AD662204A4304A407AF8146FE02C244077F8AD0956284A40,0102000000020000007C5BC0291BD62340AD662204A4304A407AF8146FE02C244077F8AD0956284A40
P252,29501,30931,1026,,AC,1.0053088,0.112,0,,1790,TRUE,1790,Infinity,1,2032,40,5586.592179,4,3,1,1,-Infinity,Infinity,380,0102000000020000004725128F580C2B40025721E394444A4075DB74BAE2142B4011DF2EA0BC3F4A40,0102000000020000004725128F580C2B40025721E394444A4075DB74BAE2142B4011DF2EA0BC3F4A40
P252,29502,1026,30930,,AC,1.0053088,0.112,0,,1790,TRUE,1790,Infinity,1,2032,40,5586.592179,4,3,1,1,-Infinity,Infinity,380,01020000000200000075DB74BAE2142B4011DF2EA0BC3F4A4056A4401F23032B40D5174651A63C4A40,01020000000200000075DB74BAE2142B4011DF2EA0BC3F4A4056A4401F23032B40D5174651A63C4A40
