scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name0,matching1%,matching2%,Coordinate0,Endpoint,subst_name1,Coordinate1,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1.1,Unnamed: 45,Unnamed: 46,Unnamed: 47,subst_name0.1
50HzT-P38,29311,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Geußnitz,,,,,Bad Sulza (Abschnitt Mitte),,,380,,Errichtung einer Lei- tung: Ersatzneubau,,,,,,Umspannwerk Sebnitz
50HzT-P38,29312,,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Bad Sulza,,,,,Vieselbach (Abschnitt West),,,75.62134758,380,,Errichtung einer Lei- tung: Ersatzneubau,10.291142563091611 50.97937435424922,10.291142563091611 50.97937435424922,,,Eisenach/West
50HzT-P39,29313,30952,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,14,Röhrsdorf,Umspannwerk Röhrsdorf,60,,12.815082479900909 50.85868947882309,Weida (Abschnitt Ost),,,279.4266437,380,,Errichtung einer Lei- tung: Ersatzneubau,13.331032449999999 48.368797649848425,13.331032449999999 48.368797649848425,,,Umspannwerk Weidach
50HzT-P39,29314,34084,,,AC,,,,,,,,,1,2026,40,,,,,,,,,,,BBPIG,14,Weida,Umspannwerk Weida,45.45,,12.045483740723734 50.780944014196685,Remptendorf (Abschnitt West),,,39.31629321,380,,Errichtung einer Lei- tung: Ersatzneubau,11.646368322793366 50.53487799518581,11.646368322793366 50.53487799518581,,,Remptendorf
50HzT- P180,29315,30931,31631,,AC,,,,,,,,,1,2030,40,,21.77882628,6,,,,,,,,,,Marzahn,Umspannwerk Marzahn,53.85,66.67,13.524113150563279 52.53579367759632,Teufelsbruch,Umspannwerk Teufelsbruch,13.211527686000428 52.58062783766221,21.77882628,380,,Errichtung einer Lei- tung: Ersatzneubau,13.211527686000428 52.58062783766221,13.211527686000428 52.58062783766221,,,Umspannwerk Zell
50HzT- P180,29316,31678,32172,,AC,,,,,,,,,1,2030,40,,319.6728787,6,,,,,,,,,,Friedrichshain,Friedrichshain,100,50,13.456433133865078 52.52145796286808,Mitte,Rendsburg Mitte,9.691483676270511 54.30880075556864,319.6728787,380,,Errichtung einer Lei- tung: Ersatzneubau,9.691483676270511 54.30880075556864,9.691483676270511 54.30880075556864,,,Rendsburg Mitte
50HzT- P180,29317,32172,32374,,AC,,,,,,,,,1,2030,40,,312.3573401,6,,,,,,,,,,Mitte,Rendsburg Mitte,50,70,9.691483676270511 54.30880075556864,Charlottenburg,Umspannwerk Charlottenburg,13.315515912071856 52.52199939367935,312.3573401,380,,Errichtung einer Lei- tung: Ersatzneubau,13.315515912071856 52.52199939367935,13.315515912071856 52.52199939367935,,,Umspannwerk Charlottenburg
50HzT- P180,29318,32374,32291,,AC,,,,,,,,,1,2030,40,,4.637691689,6,,,,,,,,,,Charlottenburg,Umspannwerk Charlottenburg,70,50,13.315515912071856 52.52199939367935,Reuter,Umspannwerk Reuter,13.249030342808782 52.53162510010523,4.637691689,380,,Errichtung einer Lei- tung: Ersatzneubau,13.249030342808782 52.53162510010523,13.249030342808782 52.53162510010523,,,Umspannwerk Zell
50HzT- P213,29319,,,,AC,,,,,,,,,1,2035,40,,,6,,,,,,,,EnLAG,12,DE,,,,,PL,,,374.2366457,380,,Errichtung einer Leitung: Neubau in neuer Trasse,7.089754759373973 52.07820926549395,7.089754759373973 52.07820926549395,,,Station Schöppingen WP
50HzT- P213,29320,32509,32509,,AC,,,,,,,,,1,2035,40,,0,,,,,,,,,EnLAG,12,Eisenhüttenstadt,Umspannwerk Eisenhüttenstadt,72.73,72.73,14.603938187245118 52.174864548479,Eisenhüttenstadt,Umspannwerk Eisenhüttenstadt,14.603938187245118 52.174864548479,0,380,,Errichtung einer Leitung: Neubau in neuer Trasse,14.603938187245118 52.174864548479,14.603938187245118 52.174864548479,,,Umspannwerk Eisenhüttenstadt
