scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,oldlinecode,Projekt,Projekt_id,cable/line,Maßnahme,Startpunkt,subst_name0,Endpunkt,subst_name1,Coordinate0,Coordinate1,Length type,Length,Trassenlänge in km,Trassenlänge in km.1,Spannung,NOVA-Typ,Art,Bundesländer,NOVA-Kategorie,TYNDP,PCI,EnLAG / BBP,anvisierte Inbetriebnahme,Umsetzungsstand,ÜNB,M-Nr.,Szenario,Anmerkung,matching0%,matching1%
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,14,,,,,,380,,,,EnLAG,"14,15",line,Utfort – Pkt. Hüls-West,Utfort,,Punkt Hüls-West,,6.617199413011056 51.47583728028681,6.4866761 51.3771562,Bestand,,,14,380,Errichtung einer Leitung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,20,,,,,,380,,,,EnLAG,"14,15",line,Osterath – Gohrpunkt,Osterath,,Gohrpunkt,,6.625829004351699 51.26061129731316,6.709755946799809 51.09093247123397,Bestand,,,20,380,Errichtung einer Leitung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,10,,,,,,380,,,,EnLAG,"14,15",line,Gohrpunkt – Rommerskirchen,Gohrpunkt,,Rommerskirchen,,6.709755946799809 51.09093247123397,6.702194950358541 51.00886012106785,Bestand,,,10,380,Errichtung einer Leitung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,50,,,,,,380,,,,EnLAG,"14,15",line,Utfort – Osterath,Utfort,,Osterath,,6.617199413011056 51.47583728028681,6.625829004351699 51.26061129731316,Bestand,,,50,380,Änderung oder Erweiterung einer Leitung: Zuoder Umbeseilung,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
AMP-014,,,,,AC,,,,,,,,,1,2021,40,,2,,,,,,380,,,,EnLAG,"14,15",line,Punkt Birkenhof – Gellep,Punkt Birkenhof,,Gellep,,6.5881942 51.2842253,6.6758761 51.3239503,Bestand,,,2,380,Errichtung einer Leitung: Ersatzneubau,Leitung,NW,NV,,,"EnLAG Nr. 14,
15",2021,4: Genehmigt oder im Bau,,,,,,
AMP-018,,,,,AC,,,,,,,,,1,2021,40,,38,6,,2,,,380,,,,15,15,line,Rommerskirchen – Sechtem,Rommerskirchen,,Sechtem,,6.702194950358541 51.00886012106785,6.972459875900362 50.79563726078529,Bestand,,,38,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,15,2021,4: Genehmigt oder im Bau,,,,"one existing, two new circuit",,
AMP-022,,,,,AC,,,,,,,,,1,2024,40,,21,,,,,,380,,,,EnLAG,19,line,Kruckel – Punkt Ochsenkopf,Kruckel,,Garenfeld,,7.417051340500602 51.457221874784416,7.505971563875505 51.40160535798426,Bestand,,,21,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,EnLAG Nr. 19,"2022,
2024",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,new constructuion,,
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,105,,,,,,380,,,,EnLAG,19,line,Punkt Ochsenkopf – Dauersberg,Garenfeld,,Altenkleusheim,,7.505971563875505 51.40160535798426,7.937986636819472 51.01063735145354,Bestand,,,105,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion,,
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,380,,,,EnLAG,19,line,Punkt Ochsenkopf – Dauersberg,Altenkleusheim,,Setzer Wiese,,7.937986636819472 51.01063735145354,8.020290393908658 50.92361692922066,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion,,
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,380,,,,EnLAG,19,line,Punkt Ochsenkopf – Dauersberg,Setzer Wiese,,Eiserfeld,,8.020290393908658 50.92361692922066,7.9850674816519875 50.84222549258402,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion,,
AMP-022,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,380,,,,EnLAG,19,line,Punkt Ochsenkopf – Dauersberg,Eiserfeld,,Dauersberg,,7.9850674816519875 50.84222549258402,7.863758842197247 50.76808852633666,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,"NW, RP",NV,x,,EnLAG Nr. 19,"2021/
2025,
2022/
2026","3: vor oder im PFV/ Genehmigung nach BImSchG,
4: Genehmigt oder im Bau",,,,new constructuion,,
AMP-028,,,,,AC,,,,,,,,,1,2025,40,,5,,,,,,380,,,,,,line,Punkt Wanne – Punkt Günnigfeld,Station Wanne,,Punkt Günnigfeld,,7.140650192920247 51.55724834807932,7.1462924 51.504831300000006,Bestand,,,5,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,NW,NV,,,,"2024/
2025,
2025/
2026",1: Vorbereitung Planungs- und Geneh- migungsverfahren,,,,,,
AMP-032,,,,,AC,,,,,,,,,1,2026,40,,21,,,,,,380,,,,EnLAG,14,line,Niederrhein – Utfort,Niederrhein,,Utfort,,6.6807962637334715 51.646328801088394,6.617199413011056 51.47583728028681,Bestand,,,21,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,NW,NV,,,EnLAG Nr. 14,"2024,
2026",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-P21,,,,,AC,,,,,,,,,1,2030,40,,31,,,,,,380,,,,BBPIG,6,line,Regelzonengrenze TTG / AMP – Merzen,Regelzonengrenze TTG/AMP,,Merzen,,7.911058 52.693343,7.867899 52.476150,Ausbau,,31,,380,Errichtung einer Leitung: Neubau in neuer Trasse,Leitung,"NI, NW",,x,,BBP Nr. 6,"2025 (Provisorium) /2030, 2026 (Provisorium) /2031",3: vor oder im Planfeststellungsverfahren/Genehmigung nach Bundes-Immissionsschutzgesetz,,,,,,
AMP-P41,,,,,AC,,,,,,,,,1,2027,40,,105,,,,,,380,,,,BBPIG,15,line,Punkt Metternich – Niederstedem,Punkt Metternich,,Wengerohr,,7.483180198854174 50.39080766358059,6.920161421361797 49.970586186671,Bestand,,,105,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,RP,NV,,,BBP Nr. 15,"2026,
2027",3: vor oder im Planfeststellungsverfahren/Genehmigung nach Bundes-Immissionsschutzgesetz,,,,,,
AMP-P41,,,,,AC,,,,,,,,,1,2027,40,,,,,,,,380,,,,BBPIG,15,line,Punkt Metternich – Niederstedem,Wengerohr,,Niederstedem,,6.920161421361797 49.970586186671,6.475062982714686 49.92260878493446,Bestand,,,*,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,RP,NV,,,BBP Nr. 15,"2026,
2027",3: vor oder im Planfeststellungsverfahren/Genehmigung nach Bundes-Immissionsschutzgesetz,,,,,,
AMP-P47,,,,,AC,,,,,,,,,1,2024,40,,66,,,,,,380,,,,BBPIG,19,line,Urberach – Pfungstadt – Weinheim,Urberach,,Pfungstadt,,8.772275034667414 49.974574340406285,8.588596431598917 49.815633721588135,Ausbau,,6,60,380,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,"HE, BW",NVA,x,,BBP Nr. 19,2024,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-P47,,,,,AC,,,,,,,,,1,2025,40,,,,,,,,380,,,,BBPIG,19,line,,Pfungstadt,,Weinheim,,8.588596431598917 49.815633721588135,8.626963252122508 49.543605582041856,Bestand,,,*,380,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,"HE, BW",NVA,x,,BBP Nr. 19,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-P47a,,,,,AC,,,,,,,,,1,2025,40,,11,,,,,,380,,,,BBPIG,76,line,Punkt Kriftel – Farbwerke Höchst-Süd,Kriftel,,Farbwerke Höchst-Süd,,8.471763441204741 50.097320201311256,8.537219075722877 50.078085067548315,Bestand,,,11,380,"Errichtung einer Leitung: Ersatzneubau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",Leitung,HE,NV,,,BBP Nr. 76,"2024,
2025",3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-P52,,,,,AC,,,,,,,,,1,2024,40,,61,,,,,,380,,,,BBPIG,24,line,Punkt Rommelsbach – Herbertingen,Punkt Rommelsbach,,Herbertingen,,9.218223100000001 48.5324241,9.425344076806475 48.06443972503238,Bestand,,,61,380,Errichtung einer Lei- tung: Ersatzneubau,Leitung,BW,NV,,,BBP Nr. 24,"2022,
2024",4: Genehmigt oder im Bau,,,,,,
AMP-P52,,,,,AC,,,,,,,,,1,2021,40,,88,,,,,,380,,,,BBPIG,25,line,Punkt Wullenstetten – Punkt Niederwangen,Punkt Wullenstetten,,Dellmensingen,,10.0546761 48.3111892,9.885508871535515 48.30406967235775,Bestand,,,88,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,"BY, BW",NV,x,,BBP Nr. 25,2021,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
AMP-P52,,,,,AC,,,,,,,,,1,2021,40,,88,,,,,,380,,,,BBPIG,25,line,Punkt Wullenstetten – Punkt Niederwangen,Dellmensingen,,Punkt Niederwangen,,9.885508871535515 48.30406967235775,9.834098087806701 47.68900236297533,Bestand,,,*,380,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Leitung,"BY, BW",NV,x,,BBP Nr. 25,2021,3: vor oder im PFV/ Genehmigung nach BImSchG,,,,,,
